latitude,longitude,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,SG_Depth_to_bedrock,isric-soil-proportion-of-sand,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,MODIS_NPP,HumanModification,biomes,HyphalLength_m_cm3_final,log_hyphal_density,location_id
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,7.581734694,2.149636071852373,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,8.417142857,2.242531736530733,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,8.469489796,2.248075029928259,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,8.728571429,2.2750670641442063,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,8.739795918,2.276220164457514,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,11.74663265,2.545267130839982,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,11.76673469,2.5468429357027293,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,13.55234694,2.677752282327991,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,13.56714286,2.6787685035169573,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,13.83806122,2.6971955836518,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,13.87846939,2.6999151605388567,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,14.11469388,2.715667375297255,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,14.14204082,2.7174750354904518,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,14.42938776,2.7362739870395725,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,14.48081633,2.7396016012672906,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,15.62714286,2.8110364720704077,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,15.62714286,2.8110364720704077,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,15.64153061,2.811901414936853,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,15.65040816,2.812434730240101,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,17.68704082,2.927830279344004,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,17.68704082,2.927830279344004,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,17.69479592,2.9282451920817163,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,17.72530612,2.9298758774672495,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,19.20734694,3.0060462481817365,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,19.24408163,3.00786248564957,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,20.04928571,3.0468666265360254,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,20.08244898,3.04844089244713,-35.67_174.27
